Date,Open,High,Low,Close,Adj Close,Volume,FEDFUNDS,CPALTT01USM661S,DTWEXBGS,WALCL,GDPC1,DGS3MO,EMVOVERALLEMV,RBUSBIS,PAYEMS,IRLTLT01USM156N,DGS2,VIXCLS,EMVMACROINTEREST,EMVMACROBUS,DGS10,DFII10,H-L,O-C,3day MA,10day MA,Std_dev,Increase_Decrease,Buy_Sell_on_Open,Buy_Sell,Returns,day,month,year,breakeven_rate
2010-10-01,114.98999786376952,115.12000274658205,113.93000030517578,114.61000061035156,89.0969009399414,174638700.0,0.19,92.4132024285178,,2308092.0,16960.864,0.16,17.02103,81.28,130620.0,2.54,0.42,22.5,4.26766,0.09925,2.54,0.75,1.1900024414062642,-0.37999725341795454,114.8000005086263,116.19000015258788,1.0369086252274495,0,0,0,-0.007503713513407728,1,10,2010,-1.79
2010-10-04,114.37000274658205,114.8499984741211,113.18000030517578,113.75,88.42835998535156,166153200.0,0.19,92.4132024285178,,2308092.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.41,23.53,4.26766,0.09925,2.5,0.72,1.6699981689453125,-0.6200027465820455,114.8000005086263,116.19000015258788,1.0369086252274495,1,1,1,-0.007503713513407728,4,10,2010,-1.78
2010-10-05,114.8000030517578,116.31999969482422,114.66999816894533,116.04000091552734,90.20858001708984,229634100.0,0.19,92.4132024285178,,2308092.0,16960.864,0.12,17.02103,81.28,130620.0,2.54,0.41,21.76,4.26766,0.09925,2.5,0.65,1.650001525878892,1.2399978637695455,114.8000005086263,116.19000015258788,1.0369086252274495,0,1,0,0.020131876180460084,5,10,2010,-1.85
2010-10-06,116.0199966430664,116.33000183105467,115.55999755859376,116.02999877929688,90.20081329345705,148626600.0,0.19,92.4132024285178,,2308092.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.38,21.49,4.26766,0.09925,2.41,0.52,0.7700042724609091,0.01000213623046875,114.8000005086263,116.19000015258788,1.0369086252274495,1,1,0,-8.619558903444346e-05,6,10,2010,-1.8900000000000001
2010-10-07,116.5,116.52999877929688,115.19000244140624,115.88999938964844,90.09197235107422,164860000.0,0.19,92.4132024285178,,2308092.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.36,21.56,4.26766,0.09925,2.41,0.53,1.3399963378906392,-0.6100006103515625,115.27333323160808,116.19000015258788,1.0369086252274495,1,0,1,-0.0012065792564105449,7,10,2010,-1.8800000000000001
2010-10-08,116.0500030517578,116.86000061035156,115.61000061035156,116.54000091552734,90.59728240966795,177760100.0,0.19,92.4132024285178,,2308092.0,16960.864,0.12,17.02103,81.28,130620.0,2.54,0.35,20.71,4.26766,0.09925,2.41,0.45,1.25,0.48999786376954546,115.98666636149089,116.19000015258788,1.0904358214780938,0,1,1,0.005608780130315294,8,10,2010,-1.9600000000000002
2010-10-11,116.72000122070312,116.97000122070312,116.25,116.6500015258789,90.68279266357422,103098300.0,0.19,92.4132024285178,,2308092.0,16960.864,0.12,17.02103,81.28,130620.0,2.54,0.35,18.96,4.26766,0.09925,2.41,0.45,0.720001220703125,-0.06999969482421875,116.15333302815755,116.19000015258788,0.34066200433514493,1,0,1,0.0009438871588074438,11,10,2010,-1.9600000000000002
2010-10-12,116.2699966430664,117.3499984741211,115.6500015258789,117.01000213623048,90.96265411376952,182210000.0,0.19,92.4132024285178,,2308092.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.37,18.93,4.26766,0.09925,2.44,0.49,1.6999969482421875,0.7400054931640767,116.36000061035156,116.19000015258788,0.46052280604204354,1,1,1,0.0030861603569865004,12,10,2010,-1.95
2010-10-13,117.66000366210938,118.5500030517578,117.37999725341795,117.91999816894533,91.67010498046876,194347200.0,0.19,92.4132024285178,,2309885.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.37,19.07,4.26766,0.09925,2.46,0.44,1.1700057983398438,0.2599945068359517,116.73333485921223,116.19000015258788,0.7444254435673724,1,1,0,0.00777707901975222,13,10,2010,-2.02
2010-10-14,117.80999755859376,118.01000213623048,116.72000122070312,117.45999908447266,91.31248474121094,217764300.0,0.19,92.4132024285178,,2309885.0,16960.864,0.14,17.02103,81.28,130620.0,2.54,0.38,19.88,4.26766,0.09925,2.52,0.41,1.290000915527358,-0.34999847412110796,117.19333394368489,116.19000015258788,0.5755244339089868,1,1,1,-0.0039009420930758987,14,10,2010,-2.11
2010-10-15,118.27999877929688,118.3499984741211,116.76000213623048,117.6999969482422,91.4990692138672,243705000.0,0.19,92.4132024285178,,2309885.0,16960.864,0.14,17.02103,81.28,130620.0,2.54,0.37,19.03,4.26766,0.09925,2.59,0.5,1.5899963378906108,-0.5800018310546733,117.46333312988281,116.19000015258788,0.5160116223396992,0,0,1,0.0020432305945869977,15,10,2010,-2.09
2010-10-18,117.73999786376952,118.66999816894533,117.30999755859376,118.27999877929688,91.949951171875,141204800.0,0.19,92.4132024285178,,2309885.0,16960.864,0.15,17.02103,81.28,130620.0,2.54,0.38,19.09,4.26766,0.09925,2.52,0.47,1.3600006103515625,0.540000915527358,117.6933314005534,116.49899978637696,0.4783082206809683,1,0,0,0.004927798182609244,18,10,2010,-2.05
2010-10-19,117.19000244140624,117.8499984741211,116.0199966430664,116.7300033569336,90.74497985839844,280604700.0,0.19,92.4132024285178,,2309885.0,16960.864,0.14,17.02103,81.28,130620.0,2.54,0.37,20.63,4.26766,0.09925,2.5,0.44,1.8300018310546875,-0.45999908447264204,117.8133316040039,116.95199966430664,0.580876730632235,0,0,1,-0.013104459235373178,19,10,2010,-2.06
2010-10-20,116.94000244140624,118.44000244140624,116.87000274658205,117.87000274658205,91.63121795654295,200051800.0,0.19,92.4132024285178,,2305227.0,16960.864,0.14,17.02103,81.28,130620.0,2.54,0.35,19.79,4.26766,0.09925,2.51,0.47,1.5699996948241903,0.9300003051758097,117.56999969482422,117.02099990844727,0.5747768291501498,1,1,1,0.00976612145004907,20,10,2010,-2.04
2010-10-21,118.4000015258789,119.08999633789062,117.20999908447266,118.12999725341795,91.83332061767578,221585500.0,0.19,92.4132024285178,,2305227.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.37,19.27,4.26766,0.09925,2.57,0.5,1.8799972534179688,-0.2700042724609517,117.62666829427083,117.20500030517579,0.6087427043201189,0,0,1,0.002205773316175108,21,10,2010,-2.07
2010-10-22,118.30999755859376,118.52999877929688,118.0,118.3499984741211,92.00434112548828,108212400.0,0.19,92.4132024285178,,2305227.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.35,18.78,4.26766,0.09925,2.59,0.5,0.529998779296875,0.04000091552732954,117.57666778564453,117.42900009155274,0.6643922880605215,1,1,1,0.0018623654094496178,22,10,2010,-2.09
2010-10-25,119.13999938964844,119.76000213623048,118.61000061035156,118.6999969482422,92.2764663696289,151145700.0,0.19,92.4132024285178,,2305227.0,16960.864,0.14,17.02103,81.28,130620.0,2.54,0.37,19.85,4.26766,0.09925,2.59,0.45,1.1500015258789205,-0.4400024414062358,118.11666615804036,117.60999984741211,0.7499174283222351,1,0,1,0.002957317098720935,25,10,2010,-2.1399999999999997
2010-10-26,118.0999984741211,118.83999633789062,117.87000274658205,118.72000122070312,92.29202270507812,158982900.0,0.19,92.4132024285178,,2305227.0,16960.864,0.14,17.02103,81.28,130620.0,2.54,0.4,20.22,4.26766,0.09925,2.67,0.52,0.9699935913085795,0.6200027465820312,118.39333089192708,117.81499938964843,0.3667824170229134,1,0,0,0.00016852799473654478,26,10,2010,-2.15
2010-10-27,117.88999938964844,118.51000213623048,117.26000213623048,118.37999725341795,92.02767181396484,190024000.0,0.19,92.4132024285178,,2295392.0,16960.864,0.14,17.02103,81.28,130620.0,2.54,0.4,20.71,4.26766,0.09925,2.75,0.62,1.25,0.48999786376951704,118.58999888102214,117.9859992980957,0.25125767999423865,0,1,1,-0.002863914789329347,27,10,2010,-2.13
2010-10-28,119.05999755859376,119.11000061035156,117.83000183105467,118.4000015258789,92.04322052001952,168576000.0,0.19,92.4132024285178,,2295392.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.37,20.88,4.26766,0.09925,2.69,0.57,1.2799987792968892,-0.659996032714858,118.5999984741211,118.03199920654296,0.1835757471355091,0,0,1,0.00016898355233219142,28,10,2010,-2.12
2010-10-29,118.27999877929688,118.72000122070312,118.06999969482422,118.48999786376952,92.11318969726562,144305500.0,0.19,92.4132024285178,,2295392.0,16960.864,0.12,17.02103,81.28,130620.0,2.54,0.34,21.2,4.26766,0.09925,2.63,0.5,0.6500015258789062,0.20999908447264204,118.5,118.1259994506836,0.1625423848122383,1,1,1,0.0007601041953613219,29,10,2010,-2.13
2010-11-01,119.06999969482422,119.75,117.8499984741211,118.52999877929688,92.14429473876952,174074800.0,0.19,92.6473628473907,,2295392.0,16960.864,0.13,17.11785,81.24,130754.0,2.76,0.34,21.83,5.17516,0.51183,2.66,0.49,1.9000015258789062,-0.5400009155273438,118.42333221435547,118.20499954223632,0.13575795323515713,0,1,1,0.00033758896319113774,1,11,2010,-2.17
2010-11-02,119.41999816894533,119.75,119.0999984741211,119.47000122070312,92.8750457763672,158345900.0,0.19,92.6473628473907,,2295392.0,16960.864,0.13,17.11785,81.24,130754.0,2.76,0.34,21.57,5.17516,0.51183,2.63,0.49,0.6500015258789062,0.05000305175779829,118.47333272298177,118.22999954223633,0.4603595675124936,1,1,1,0.007930502413625584,2,11,2010,-2.1399999999999997
2010-11-03,119.68000030517578,120.0199966430664,118.4499969482422,119.9499969482422,93.24819946289062,226702800.0,0.19,92.6473628473907,,2300353.0,16960.864,0.13,17.11785,81.24,130754.0,2.76,0.34,19.56,5.17516,0.51183,2.67,0.5,1.5699996948242045,0.26999664306642046,118.82999928792317,118.50399932861328,0.6998708113152048,0,1,1,0.004017709237755573,3,11,2010,-2.17
2010-11-04,121.27999877929688,122.31999969482422,119.97000122070312,122.26000213623048,95.04396057128906,215039400.0,0.19,92.6473628473907,,2300353.0,16960.864,0.13,17.11785,81.24,130754.0,2.76,0.33,18.52,5.17516,0.51183,2.53,0.44,2.3499984741210938,0.980003356933608,119.31666564941406,118.7119987487793,1.5406181486972226,0,1,1,0.019258067917959476,4,11,2010,-2.09
2010-11-05,122.33999633789062,122.91999816894533,122.18000030517578,122.72000122070312,95.401611328125,180654100.0,0.19,92.6473628473907,,2300353.0,16960.864,0.13,17.11785,81.24,130754.0,2.76,0.38,18.26,5.17516,0.51183,2.58,0.48,0.7399978637695455,0.3800048828125,120.56000010172527,119.12499923706055,1.8188827985082427,0,0,0,0.003762465863202502,5,11,2010,-2.1
2010-11-08,122.33999633789062,122.69000244140624,121.94000244140624,122.48999786376952,95.22274780273438,156107100.0,0.19,92.6473628473907,,2300353.0,16960.864,0.13,17.11785,81.24,130754.0,2.76,0.41,18.29,5.17516,0.51183,2.6,0.48,0.75,0.15000152587889204,121.6433334350586,119.56199951171875,1.5407048996595365,1,1,0,-0.0018742124726675025,8,11,2010,-2.12
2010-11-09,122.81999969482422,122.9499969482422,121.12000274658205,121.61000061035156,94.5386734008789,186621600.0,0.19,92.6473628473907,,2300353.0,16960.864,0.13,17.11785,81.24,130754.0,2.76,0.46,19.08,5.17516,0.51183,2.72,0.58,1.8299942016601562,-1.2099990844726562,122.49000040690105,119.94099960327148,1.1171987667450176,1,0,1,-0.007184237641971958,9,11,2010,-2.14
2010-11-10,121.58000183105467,122.16000366210938,120.66000366210938,122.0999984741211,94.91960906982422,221387400.0,0.19,92.6473628473907,,2312768.0,16960.864,0.13,17.11785,81.24,130754.0,2.76,0.44,18.47,5.17516,0.51183,2.65,0.56,1.5,0.5199966430664205,122.27333323160808,120.22999954223633,0.4212243611980091,0,0,0,0.004029256321933072,10,11,2010,-2.09
2010-11-11,121.0500030517578,121.81999969482422,120.68000030517578,121.63999938964844,94.5619888305664,158017600.0,0.19,92.6473628473907,,2312768.0,16960.864,0.13,17.11785,81.24,130754.0,2.76,0.44,18.64,5.17516,0.51183,2.65,0.56,1.1399993896484375,0.5899963378906392,122.06666564941406,120.60199966430665,0.4968601084290688,1,0,0,-0.0037673963163082913,11,11,2010,-2.09
2010-11-12,120.81999969482422,121.3499984741211,119.6500015258789,120.1999969482422,93.4425277709961,239068800.0,0.19,92.6473628473907,,2312768.0,16960.864,0.13,17.11785,81.24,130754.0,2.76,0.51,20.61,5.17516,0.51183,2.76,0.71,1.6999969482421875,-0.620002746582017,121.78333282470703,120.92599945068359,0.8665280271522307,0,0,0,-0.011838231244917119,12,11,2010,-2.05
2010-11-15,120.58000183105467,121.0500030517578,119.9800033569336,120.02999877929688,93.31037902832033,163940800.0,0.19,92.6473628473907,,2312768.0,16960.864,0.14,17.11785,81.24,130754.0,2.76,0.53,20.2,5.17516,0.51183,2.92,0.87,1.0699996948242045,-0.5500030517577983,121.3133316040039,121.09699935913086,0.9361256863589218,1,0,0,-0.0014142942867005903,15,11,2010,-2.05
2010-11-16,119.29000091552734,119.48999786376952,117.58999633789062,118.16000366210938,91.85665130615234,299566200.0,0.19,92.6473628473907,,2312768.0,16960.864,0.15,17.11785,81.24,130754.0,2.76,0.51,22.58,5.17516,0.51183,2.85,0.87,1.900001525878892,-1.1299972534179688,120.62333170572917,121.24699935913085,1.5507013863862544,0,0,1,-0.015579397952222962,16,11,2010,-1.98
2010-11-17,118.20999908447266,118.70999908447266,117.86000061035156,118.22000122070312,91.90331268310548,172308900.0,0.19,92.6473628473907,,2314757.0,16960.864,0.14,17.11785,81.24,130754.0,2.76,0.5,21.76,5.17516,0.51183,2.89,0.84,0.8499984741210938,0.01000213623046875,119.46333312988281,121.11599960327149,1.4724111927262493,1,1,1,0.0005077653752052491,17,11,2010,-2.0500000000000003
2010-11-18,119.36000061035156,120.38999938964844,119.3499984741211,119.95999908447266,93.2559814453125,197723700.0,0.19,92.6473628473907,,2314757.0,16960.864,0.15,17.11785,81.24,130754.0,2.76,0.52,18.75,5.17516,0.51183,2.9,0.83,1.0400009155273438,0.5999984741210938,118.80333455403645,120.94300003051758,1.0299879293414984,0,1,1,0.014718303551030765,18,11,2010,-2.07
2010-11-19,119.9000015258789,120.33999633789062,119.25,120.29000091552734,93.51248931884766,156852900.0,0.19,92.6473628473907,,2314757.0,16960.864,0.14,17.11785,81.24,130754.0,2.76,0.52,18.04,5.17516,0.51183,2.88,0.77,1.089996337890625,0.3899993896484375,118.78000132242839,120.7129997253418,1.0499366172933797,1,0,0,0.002750932257196137,19,11,2010,-2.11
2010-11-22,119.69000244140624,120.23999786376952,118.7699966430664,120.19000244140624,93.4347686767578,181361000.0,0.19,92.6473628473907,,2314757.0,16960.864,0.15,17.11785,81.24,130754.0,2.76,0.49,18.37,5.17516,0.51183,2.8,0.7,1.4700012207031108,0.5,119.49000040690105,120.46999969482422,1.0785769590222738,1,0,0,-0.0008313116082802052,22,11,2010,-2.0999999999999996
2010-11-23,118.7699966430664,119.0199966430664,117.98999786376952,118.4499969482422,92.08210754394533,222309000.0,0.19,92.6473628473907,,2314757.0,16960.864,0.15,17.11785,81.24,130754.0,2.76,0.45,20.63,5.17516,0.51183,2.77,0.69,1.0299987792968892,-0.31999969482420454,120.14666748046875,120.2400001525879,1.0027820491404578,0,1,1,-0.014477123369826872,23,11,2010,-2.08
2010-11-24,119.1999969482422,120.2300033569336,119.18000030517578,120.1999969482422,93.4425277709961,140046100.0,0.19,92.6473628473907,,2346001.0,16960.864,0.16,17.11785,81.24,130754.0,2.76,0.53,19.56,5.17516,0.51183,2.93,0.8,1.0500030517578125,1.0,119.6433334350586,119.92399978637695,0.7743849880299113,0,0,0,0.014774166695543878,24,11,2010,-2.13
2010-11-25,119.1999969482422,120.2300033569336,119.18000030517578,120.1999969482422,93.4425277709961,140046100.0,0.19,92.6473628473907,,2346001.0,16960.864,0.16,17.11785,81.24,130754.0,2.76,0.53,19.56,5.17516,0.51183,2.93,0.8,1.0500030517578125,1.0,119.6133321126302,119.73399963378907,0.7743849880299113,0,0,0,0.0,25,11,2010,-2.13
2010-11-26,119.16000366210938,119.80999755859376,118.8000030517578,118.8000030517578,92.35418701171876,76007800.0,0.19,92.6473628473907,,2346001.0,16960.864,0.16,17.11785,81.24,130754.0,2.76,0.51,22.22,5.17516,0.51183,2.87,0.75,1.009994506835966,-0.3600006103515767,119.6133321126302,119.73399963378907,0.7743849880299113,1,0,1,-0.011647204093418018,26,11,2010,-2.12
2010-11-29,118.5,119.4800033569336,117.73999786376952,119.16000366210938,92.63402557373048,223642300.0,0.19,92.6473628473907,,2346001.0,16960.864,0.18,17.11785,81.24,130754.0,2.76,0.52,21.53,5.17516,0.51183,2.84,0.73,1.7400054931640767,0.660003662109375,119.6133321126302,119.73399963378907,0.7743849880299113,1,0,0,0.0030303080900995205,29,11,2010,-2.11
2010-11-30,117.9800033569336,119.16999816894533,117.80999755859376,118.48999786376952,92.11318969726562,233930700.0,0.19,92.6473628473907,,2346001.0,16960.864,0.17,17.11785,81.24,130754.0,2.76,0.45,23.54,5.17516,0.51183,2.81,0.74,1.3600006103515625,0.5099945068359233,119.6133321126302,119.73399963378907,0.7743849880299113,0,1,1,-0.0056227406659010715,30,11,2010,-2.0700000000000003
2010-12-01,120.1999969482422,121.23999786376952,120.19000244140624,121.01000213623048,94.0722198486328,221037200.0,0.18,93.0194880535995,,2346920.0,16960.864,0.16,14.10408,81.73,130836.0,3.29,0.53,21.36,3.45742,0.43904,2.97,0.83,1.0499954223632812,0.8100051879882812,118.81666819254558,119.73399963378907,0.7743849880299113,0,1,1,0.021267653961461574,1,12,2010,-2.14
2010-12-02,121.1999969482422,122.6500015258789,121.12999725341795,122.55999755859376,95.27720642089844,191213600.0,0.18,93.0194880535995,,2346920.0,16960.864,0.16,14.10408,81.73,130836.0,3.29,0.55,19.39,3.45742,0.43904,3.01,0.84,1.5200042724609517,1.3600006103515625,119.55333455403645,119.73399963378907,1.7320006319206322,0,1,1,0.012808820717301828,2,12,2010,-2.17
2010-12-03,122.13999938964844,123.02999877929688,122.11000061035156,122.88999938964844,95.53374481201172,151288900.0,0.18,93.0194880535995,,2346920.0,16960.864,0.14,14.10408,81.73,130836.0,3.29,0.49,18.01,3.45742,0.43904,3.03,0.86,0.9199981689453125,0.75,120.68666585286458,119.73399963378907,1.970600643397654,0,1,0,0.002692573740440185,3,12,2010,-2.17
2010-12-06,122.62999725341795,123.04000091552734,122.5,122.76000213623048,95.4326629638672,103050500.0,0.18,93.0194880535995,,2346920.0,16960.864,0.15,14.10408,81.73,130836.0,3.29,0.42,18.02,3.45742,0.43904,2.95,0.79,0.5400009155273438,0.13000488281252842,122.15333302815755,119.73399963378907,1.8664598411343019,1,1,1,-0.0010578342750721115,6,12,2010,-2.16
2010-12-07,123.94000244140624,124.01000213623048,122.76000213623048,122.83000183105467,95.48709869384766,206581000.0,0.18,93.0194880535995,,2346920.0,16960.864,0.14,14.10408,81.73,130836.0,3.29,0.54,17.99,3.45742,0.43904,3.15,0.92,1.25,-1.1100006103515625,122.7366663614909,119.73399963378907,0.7924322894828066,0,0,1,0.0005702158162763649,7,12,2010,-2.23
2010-12-08,122.9800033569336,123.37999725341795,122.41000366210938,123.27999877929688,95.83689880371094,138019200.0,0.18,93.0194880535995,,2382294.0,16960.864,0.15,14.10408,81.73,130836.0,3.29,0.63,17.74,3.45742,0.43904,3.26,1.07,0.9699935913085795,0.29999542236328125,122.82666778564453,119.73399963378907,0.2636853561444768,0,1,1,0.0036635751977041053,8,12,2010,-2.1899999999999995
2010-12-09,123.97000122070312,124.0199966430664,123.1500015258789,123.76000213623048,96.21005249023438,123705100.0,0.18,93.0194880535995,,2382294.0,16960.864,0.14,14.10408,81.73,130836.0,3.29,0.64,17.25,3.45742,0.43904,3.23,1.09,0.8699951171875,-0.20999908447264204,122.95666758219402,119.73399963378907,0.41848541227381153,0,1,1,0.003893602868969337,9,12,2010,-2.1399999999999997
2010-12-10,124.13999938964844,124.5999984741211,123.7300033569336,124.4800033569336,96.76976013183594,117571700.0,0.18,93.0194880535995,,2382294.0,16960.864,0.13,14.10408,81.73,130836.0,3.29,0.64,17.61,3.45742,0.43904,3.32,1.16,0.8699951171875,0.34000396728515625,123.29000091552734,121.55400085449219,0.7145774796544401,1,1,1,0.005817721463114989,10,12,2010,-2.16
2010-12-13,125.0500030517578,125.1999969482422,124.5199966430664,124.55999755859376,96.83197021484376,133812700.0,0.18,93.0194880535995,,2382294.0,16960.864,0.15,14.10408,81.73,130836.0,3.29,0.61,17.55,3.45742,0.43904,3.29,1.11,0.6800003051757955,-0.4900054931640341,123.84000142415364,122.12200088500977,0.7502130585272545,1,0,1,0.0006426269240271676,13,12,2010,-2.1799999999999997
2010-12-14,124.75,125.2300033569336,124.29000091552734,124.66999816894533,96.9175033569336,147249600.0,0.18,93.0194880535995,,2382294.0,16960.864,0.15,14.10408,81.73,130836.0,3.29,0.66,17.61,3.45742,0.43904,3.49,1.27,0.94000244140625,-0.08000183105467329,124.26666768391927,122.6620002746582,0.6034067382613764,1,0,0,0.0008831134594380341,14,12,2010,-2.22
2010-12-15,124.44000244140624,124.93000030517578,123.88999938964844,124.0999984741211,96.47437286376952,160823100.0,0.18,93.0194880535995,,2385754.0,16960.864,0.14,14.10408,81.73,130836.0,3.29,0.68,17.94,3.45742,0.43904,3.53,1.22,1.0400009155273438,-0.34000396728514204,124.56999969482423,123.28000030517578,0.37666858635272954,1,0,1,-0.004572067884783371,15,12,2010,-2.3099999999999996
2010-12-16,124.18000030517578,124.91000366210938,123.75,124.81999969482422,97.0340805053711,185035200.0,0.18,93.0194880535995,,2385754.0,16960.864,0.13,14.10408,81.73,130836.0,3.29,0.66,17.39,3.45742,0.43904,3.47,1.15,1.160003662109375,0.6399993896484375,124.4433314005534,123.58899993896485,0.27014816232493694,0,0,0,0.005801782671683631,16,12,2010,-2.3200000000000003
2010-12-17,124.08000183105467,124.45999908447266,123.81999969482422,124.3000030517578,97.13803100585938,141075300.0,0.18,93.0194880535995,,2385754.0,16960.864,0.11,14.10408,81.73,130836.0,3.29,0.61,16.11,3.45742,0.43904,3.33,1.05,0.6399993896484375,0.220001220703125,124.52999877929688,123.81500015258788,0.2891361392772674,0,1,1,-0.004165972154604791,17,12,2010,-2.2800000000000002
2010-12-20,124.63999938964844,124.9000015258789,123.9800033569336,124.5999984741211,97.37247467041016,119085500.0,0.18,93.0194880535995,,2385754.0,16960.864,0.14,14.10408,81.73,130836.0,3.29,0.62,16.41,3.45742,0.43904,3.36,1.07,0.9199981689453125,-0.04000091552734375,124.4066670735677,123.95600051879883,0.2920953904228776,0,1,1,0.00241347880127063,20,12,2010,-2.29
2010-12-21,124.98999786376952,125.47000122070312,124.87000274658205,125.38999938964844,97.98986053466795,94965500.0,0.18,93.0194880535995,,2385754.0,16960.864,0.14,14.10408,81.73,130836.0,3.29,0.63,16.49,3.45742,0.43904,3.35,1.06,0.5999984741210795,0.40000152587892046,124.57333374023438,124.14000015258789,0.5009188240399945,0,1,1,0.006340296349934826,21,12,2010,-2.29
2010-12-22,125.4800033569336,125.81999969482422,125.41000366210938,125.77999877929688,98.29463958740234,78878100.0,0.18,93.0194880535995,,2427921.0,16960.864,0.14,14.10408,81.73,130836.0,3.29,0.65,15.45,3.45742,0.43904,3.36,1.03,0.40999603271484375,0.29999542236328125,124.76333363850911,124.39599990844727,0.6000988774553955,0,1,0,0.00311029102437832,22,12,2010,-2.33
2010-12-23,125.63999938964844,125.77999877929688,125.29000091552734,125.5999984741211,98.15396881103516,70053700.0,0.18,93.0194880535995,,2427921.0,16960.864,0.14,14.10408,81.73,130836.0,3.29,0.67,16.47,3.45742,0.43904,3.41,1.08,0.48999786376953125,-0.04000091552734375,125.2566655476888,124.64599990844727,0.6482116219944494,0,0,0,-0.001431072562591007,23,12,2010,-2.33
2010-12-24,125.63999938964844,125.77999877929688,125.29000091552734,125.5999984741211,98.15396881103516,70053700.0,0.18,93.0194880535995,,2427921.0,16960.864,0.14,14.10408,81.73,130836.0,3.29,0.67,16.47,3.45742,0.43904,3.41,1.08,0.48999786376953125,-0.04000091552734375,125.58999888102214,124.82999954223632,0.6482116219944494,0,0,0,0.0,24,12,2010,-2.33
2010-12-27,125.12999725341795,125.7699966430664,125.04000091552734,125.6500015258789,98.19307708740234,58126000.0,0.18,93.0194880535995,,2427921.0,16960.864,0.17,14.10408,81.73,130836.0,3.29,0.71,17.67,3.45742,0.43904,3.36,1.06,0.7299957275390625,0.5200042724609517,125.58999888102214,124.82999954223632,0.6482116219944494,0,1,1,0.00039811347424589805,27,12,2010,-2.3
2010-12-28,125.9000015258789,125.9499969482422,125.5,125.83000183105467,98.33368682861328,55309100.0,0.18,93.0194880535995,,2427921.0,16960.864,0.15,14.10408,81.73,130836.0,3.29,0.75,17.52,3.45742,0.43904,3.5,1.17,0.4499969482422017,-0.06999969482423296,125.58999888102214,124.82999954223632,0.6482116219944494,1,1,1,0.0014325531475516406,28,12,2010,-2.33
2010-12-29,125.9800033569336,126.1999969482422,125.9000015258789,125.91999816894533,98.40402221679688,58033100.0,0.18,93.0194880535995,,2420570.0,16960.864,0.13,14.10408,81.73,130836.0,3.29,0.64,17.28,3.45742,0.43904,3.35,1.06,0.29999542236329546,-0.06000518798826704,125.58999888102214,124.82999954223632,0.6482116219944494,1,0,0,0.0007152216210843942,29,12,2010,-2.29
2010-12-30,125.8000030517578,126.12999725341795,125.52999877929688,125.72000122070312,98.24771881103516,76616900.0,0.18,93.0194880535995,,2420570.0,16960.864,0.12,14.10408,81.73,130836.0,3.29,0.66,17.52,3.45742,0.43904,3.38,1.08,0.5999984741210795,-0.08000183105467329,125.8000005086263,124.82999954223632,0.6482116219944494,1,0,1,-0.0015882858255276133,30,12,2010,-2.3
2010-12-31,125.52999877929688,125.87000274658205,125.33000183105467,125.75,98.27117156982422,91218900.0,0.18,93.0194880535995,,2420570.0,16960.864,0.12,14.10408,81.73,130836.0,3.29,0.61,17.75,3.45742,0.43904,3.3,1.0,0.5400009155273722,0.220001220703125,125.82333374023438,124.82999954223632,0.10406627715753547,1,1,1,0.00023861580500783575,31,12,2010,-2.3
2011-01-03,126.70999908447266,127.5999984741211,125.6999969482422,127.0500030517578,99.28712463378906,138725200.0,0.18,93.0194880535995,,2420570.0,16960.864,0.15,14.10408,81.73,130836.0,3.29,0.61,17.61,3.45742,0.43904,3.36,1.05,1.900001525878892,0.34000396728514204,125.79666646321614,124.82999954223632,0.5621665531887119,0,1,0,0.010337996435449748,3,1,2011,-2.3099999999999996
