Date,Open,High,Low,Close,Adj Close,Volume,FEDFUNDS,CPALTT01USM661S,DTWEXBGS,WALCL,GDPC1,DGS3MO,EMVOVERALLEMV,RBUSBIS,PAYEMS,IRLTLT01USM156N,DGS2,VIXCLS,EMVMACROINTEREST,EMVMACROBUS,DGS10,DFII10,H-L,O-C,3day MA,10day MA,Std_dev,Increase_Decrease,Buy_Sell_on_Open,Buy_Sell,Returns,day,month,year,breakeven_rate
2010-10-01,105.08000183105467,105.16000366210938,104.16000366210938,104.72000122070312,81.5654525756836,17100.0,0.19,92.4132024285178,,2308092.0,16960.864,0.16,17.02103,81.28,130620.0,2.54,0.42,22.5,4.26766,0.09925,2.54,0.75,1.0,-0.3600006103515483,104.8933334350586,106.19200057983399,0.985699462404626,1,1,0,-0.008403407873896374,1,10,2010,-1.79
2010-10-04,105.26000213623048,105.26000213623048,103.5,103.83999633789062,80.88005828857422,88700.0,0.19,92.4132024285178,,2308092.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.41,23.53,4.26766,0.09925,2.5,0.72,1.760002136230483,-1.420005798339858,104.8933334350586,106.19200057983399,0.985699462404626,0,0,1,-0.008403407873896374,4,10,2010,-1.78
2010-10-05,105.0199966430664,106.1999969482422,104.81999969482422,106.12000274658205,82.65592193603516,19850.0,0.19,92.4132024285178,,2308092.0,16960.864,0.12,17.02103,81.28,130620.0,2.54,0.41,21.76,4.26766,0.09925,2.5,0.65,1.379997253417983,1.1000061035156392,104.8933334350586,106.19200057983399,0.985699462404626,1,1,0,0.021956919193952817,5,10,2010,-1.85
2010-10-06,106.12000274658205,106.27999877929688,105.62000274658205,105.94000244140624,82.5157470703125,276900.0,0.19,92.4132024285178,,2308092.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.38,21.49,4.26766,0.09925,2.41,0.52,0.6599960327148295,-0.18000030517580967,104.8933334350586,106.19200057983399,0.985699462404626,0,1,0,-0.0016961958209298356,6,10,2010,-1.8900000000000001
2010-10-07,106.5,106.5,105.31999969482422,105.87999725341795,82.46896362304688,49900.0,0.19,92.4132024285178,,2308092.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.36,21.56,4.26766,0.09925,2.41,0.53,1.1800003051757812,-0.6200027465820455,105.3000005086263,106.19200057983399,0.985699462404626,1,0,1,-0.0005664072739800519,7,10,2010,-1.8800000000000001
2010-10-08,106.0199966430664,106.73999786376952,105.66000366210938,106.68000030517578,83.09210205078125,61550.0,0.19,92.4132024285178,,2308092.0,16960.864,0.12,17.02103,81.28,130620.0,2.54,0.35,20.71,4.26766,0.09925,2.41,0.45,1.079994201660142,0.660003662109375,105.98000081380208,106.19200057983399,1.082369703106536,0,1,0,0.007555752479319278,8,10,2010,-1.9600000000000002
2010-10-11,106.72000122070312,106.83999633789062,106.27999877929688,106.5,82.9519271850586,14200.0,0.19,92.4132024285178,,2308092.0,16960.864,0.12,17.02103,81.28,130620.0,2.54,0.35,18.96,4.26766,0.09925,2.41,0.45,0.55999755859375,-0.220001220703125,106.16666666666667,106.19200057983399,0.35139728583917446,1,0,1,-0.001687291944702518,11,10,2010,-1.9600000000000002
2010-10-12,106.37999725341795,107.23999786376952,105.73999786376952,107.12000274658205,83.43482971191406,42050.0,0.19,92.4132024285178,,2308092.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.37,18.93,4.26766,0.09925,2.44,0.49,1.5,0.7400054931640909,106.35333251953125,106.19200057983399,0.5210385313275411,1,1,1,0.005821622033634233,12,10,2010,-1.95
2010-10-13,107.58000183105467,108.27999877929688,107.23999786376952,107.76000213623048,83.93328857421875,74450.0,0.19,92.4132024285178,,2309885.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.37,19.07,4.26766,0.09925,2.46,0.44,1.040000915527358,0.18000030517580967,106.76666768391927,106.19200057983399,0.7025117256060724,0,1,0,0.005974602065335066,13,10,2010,-2.02
2010-10-14,107.6999969482422,107.81999969482422,106.8000030517578,107.36000061035156,83.62173461914062,19100.0,0.19,92.4132024285178,,2309885.0,16960.864,0.14,17.02103,81.28,130620.0,2.54,0.38,19.88,4.26766,0.09925,2.52,0.41,1.0199966430664205,-0.3399963378906392,107.12666829427083,106.19200057983399,0.5095888480616897,1,1,1,-0.0037119665733974516,14,10,2010,-2.11
