Date,Open,High,Low,Close,Adj Close,Volume,FEDFUNDS,CPALTT01USM661S,DTWEXBGS,WALCL,GDPC1,DGS3MO,EMVOVERALLEMV,RBUSBIS,PAYEMS,IRLTLT01USM156N,DGS2,VIXCLS,EMVMACROINTEREST,EMVMACROBUS,DGS10,DFII10,H-L,O-C,3day MA,10day MA,Std_dev,Increase_Decrease,Buy_Sell_on_Open,Buy_Sell,Returns,day,month,year,breakeven_rate
2012-02-24,24.81999969482422,24.81999969482422,24.81999969482422,24.81999969482422,20.480682373046875,100.0,0.1,96.3344401456436,,2932813.0,17031.313,0.1,18.29328,80.53,133521.0,1.97,0.31,17.31,3.06074,0.21354,1.98,-0.29,0.0,0.0,24.81999969482422,24.837999725341795,0.0,0,0,0,0.0,24,2,2012,-2.27
2012-02-27,24.81999969482422,24.81999969482422,24.81999969482422,24.81999969482422,20.480682373046875,0.0,0.1,96.3344401456436,,2932813.0,17031.313,0.12,18.29328,80.53,133521.0,1.97,0.3,18.19,3.06074,0.21354,1.92,-0.32,0.0,0.0,24.81999969482422,24.837999725341795,0.0,0,0,0,0.0,27,2,2012,-2.2399999999999998
2012-02-28,24.81999969482422,24.81999969482422,24.81999969482422,24.81999969482422,20.480682373046875,0.0,0.1,96.3344401456436,,2932813.0,17031.313,0.1,18.29328,80.53,133521.0,1.97,0.3,17.96,3.06074,0.21354,1.94,-0.31,0.0,0.0,24.81999969482422,24.837999725341795,0.0,0,0,0,0.0,28,2,2012,-2.25
2012-02-29,24.81999969482422,24.81999969482422,24.81999969482422,24.81999969482422,20.480682373046875,0.0,0.1,96.3344401456436,,2925722.0,17031.313,0.08,18.29328,80.53,133521.0,1.97,0.3,18.43,3.06074,0.21354,1.98,-0.28,0.0,0.0,24.81999969482422,24.837999725341795,0.0,0,0,0,0.0,29,2,2012,-2.26
2012-03-01,24.81999969482422,24.81999969482422,24.81999969482422,24.81999969482422,20.480682373046875,0.0,0.13,96.5361134433395,,2925722.0,17031.313,0.08,16.09793,81.25,133745.0,2.17,0.3,17.26,3.73374,0.48967,2.03,-0.23,0.0,0.0,24.81999969482422,24.837999725341795,0.0,0,0,0,0.0,1,3,2012,-2.26
2012-03-02,24.81999969482422,24.81999969482422,24.81999969482422,24.81999969482422,20.480682373046875,0.0,0.13,96.5361134433395,,2925722.0,17031.313,0.07,16.09793,81.25,133745.0,2.17,0.28,17.29,3.73374,0.48967,1.99,-0.24,0.0,0.0,24.81999969482422,24.837999725341795,0.0,0,0,0,0.0,2,3,2012,-2.23
2012-03-05,24.81999969482422,24.81999969482422,24.81999969482422,24.81999969482422,20.480682373046875,0.0,0.13,96.5361134433395,,2925722.0,17031.313,0.08,16.09793,81.25,133745.0,2.17,0.31,18.05,3.73374,0.48967,2.0,-0.2,0.0,0.0,24.81999969482422,24.837999725341795,0.0,0,0,0,0.0,5,3,2012,-2.2
2012-03-06,24.81999969482422,24.81999969482422,24.81999969482422,24.81999969482422,20.480682373046875,0.0,0.13,96.5361134433395,,2925722.0,17031.313,0.08,16.09793,81.25,133745.0,2.17,0.3,20.87,3.73374,0.48967,1.96,-0.21,0.0,0.0,24.81999969482422,24.837999725341795,0.0,1,1,1,0.0,6,3,2012,-2.17
2012-03-07,24.899999618530277,24.899999618530277,24.899999618530277,24.899999618530277,20.546688079833984,500.0,0.13,96.5361134433395,,2884747.0,17031.313,0.08,16.09793,81.25,133745.0,2.17,0.3,19.07,3.73374,0.48967,1.98,-0.22,0.0,0.0,24.81999969482422,24.837999725341795,0.03577705352030902,1,0,1,0.003223204056796991,7,3,2012,-2.2
2012-03-08,24.84000015258789,24.920000076293945,24.84000015258789,24.920000076293945,20.56317710876465,2700.0,0.13,96.5361134433395,,2884747.0,17031.313,0.08,16.09793,81.25,133745.0,2.17,0.32,17.95,3.73374,0.48967,2.03,-0.21,0.07999992370605469,0.07999992370605469,24.84666633605957,24.837999725341795,0.04979970410150811,0,1,0,0.000803231247794356,8,3,2012,-2.2399999999999998
