Date,Open,High,Low,Close,Adj Close,Volume,FEDFUNDS,CPALTT01USM661S,DTWEXBGS,WALCL,GDPC1,DGS3MO,EMVOVERALLEMV,RBUSBIS,PAYEMS,IRLTLT01USM156N,DGS2,VIXCLS,EMVMACROINTEREST,EMVMACROBUS,DGS10,DFII10,H-L,O-C,3day MA,10day MA,Std_dev,Increase_Decrease,Buy_Sell_on_Open,Buy_Sell,Returns,day,month,year,breakeven_rate
2010-10-01,127.91000366210938,129.07000732421875,127.91000366210938,128.91000366210938,128.91000366210938,17211900.0,0.19,92.4132024285178,,2308092.0,16960.864,0.16,17.02103,81.28,130620.0,2.54,0.42,22.5,4.26766,0.09925,2.54,0.75,1.160003662109375,1.0,129.45333862304688,131.527001953125,1.404853009889676,0,1,0,-0.0034907837674234,1,10,2010,-1.79
2010-10-04,128.52000427246094,128.6199951171875,128.22000122070312,128.4600067138672,128.4600067138672,8368000.0,0.19,92.4132024285178,,2308092.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.41,23.53,4.26766,0.09925,2.5,0.72,0.399993896484375,-0.05999755859375,129.45333862304688,131.527001953125,1.404853009889676,1,1,1,-0.0034907837674234,4,10,2010,-1.78
2010-10-05,130.11000061035156,131.1199951171875,129.8699951171875,130.99000549316406,130.99000549316406,17489600.0,0.19,92.4132024285178,,2308092.0,16960.864,0.12,17.02103,81.28,130620.0,2.54,0.41,21.76,4.26766,0.09925,2.5,0.65,1.25,0.8800048828125,129.45333862304688,131.527001953125,1.404853009889676,0,1,1,0.01969483611294076,5,10,2010,-1.85
2010-10-06,131.4499969482422,131.86000061035156,131.33999633789062,131.80999755859375,131.80999755859375,16142200.0,0.19,92.4132024285178,,2308092.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.38,21.49,4.26766,0.09925,2.41,0.52,0.5200042724609375,0.3600006103515625,129.45333862304688,131.527001953125,1.404853009889676,1,1,0,0.0062599590124643445,6,10,2010,-1.8900000000000001
2010-10-07,132.60000610351562,132.6699981689453,129.50999450683594,130.3699951171875,130.3699951171875,38676800.0,0.19,92.4132024285178,,2308092.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.36,21.56,4.26766,0.09925,2.41,0.53,3.160003662109375,-2.230010986328125,130.42000325520834,131.527001953125,1.404853009889676,0,0,1,-0.01092483474757766,7,10,2010,-1.8800000000000001
2010-10-08,130.77999877929688,131.8800048828125,130.47000122070312,131.66000366210938,131.66000366210938,18693300.0,0.19,92.4132024285178,,2308092.0,16960.864,0.12,17.02103,81.28,130620.0,2.54,0.35,20.71,4.26766,0.09925,2.41,0.45,1.410003662109375,0.8800048828125,131.0566660563151,131.527001953125,1.356047441995653,0,1,1,0.009894980388411412,8,10,2010,-1.9600000000000002
2010-10-11,131.27999877929688,132.3300018310547,130.97999572753906,132.2899932861328,132.2899932861328,10621300.0,0.19,92.4132024285178,,2308092.0,16960.864,0.12,17.02103,81.28,130620.0,2.54,0.35,18.96,4.26766,0.09925,2.41,0.45,1.350006103515625,1.0099945068359375,131.27999877929688,131.527001953125,0.7506520066495589,1,1,0,0.004784973465747688,11,10,2010,-1.9600000000000002
2010-10-12,132.05999755859375,132.2100067138672,131.36000061035156,131.9600067138672,131.9600067138672,13289200.0,0.19,92.4132024285178,,2308092.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.37,18.93,4.26766,0.09925,2.44,0.49,0.850006103515625,-0.0999908447265625,131.43999735514322,131.527001953125,0.7356437872019829,1,1,1,-0.0024944182403267012,12,10,2010,-1.95
2010-10-13,132.72999572753906,134.30999755859375,132.6300048828125,134.07000732421875,134.07000732421875,18398500.0,0.19,92.4132024285178,,2309885.0,16960.864,0.13,17.02103,81.28,130620.0,2.54,0.37,19.07,4.26766,0.09925,2.46,0.44,1.67999267578125,1.3400115966796875,131.97000122070312,131.527001953125,1.334038836065976,1,1,1,0.01598969765837266,13,10,2010,-2.02
2010-10-14,134.05999755859375,134.85000610351562,133.89999389648438,134.75,134.75,26890500.0,0.19,92.4132024285178,,2309885.0,16960.864,0.14,17.02103,81.28,130620.0,2.54,0.38,19.88,4.26766,0.09925,2.52,0.41,0.95001220703125,0.69000244140625,132.7733357747396,131.527001953125,1.3760561956983433,0,1,0,0.00507192241838883,14,10,2010,-2.11
